Date,VIX,SMB,HML,MKT,MOM,STR,RVAR,BAB,QMJ,TERM_SPREAD,CREDIT_SPREAD,10Y,3M,OIL,DOLLAR,TED,SKEW,LEVERAGE,TSMOM,MOMCM,MOMEQ,MOMFI,MOMFX,HMLD,ECU,MACVOL,BULL,NEUT,BEAR,BULL_BEAR_SPREAD,BULL_BEAR_RATIO,MOV_AVG_BULL,SP500
2012-05-31,24.06,-0.53,0.44,-6.69,6.29,-3.34,-6.029999999999999,2.3729458720900003,3.14114185827,1.52,3.4,1.62,0.07,-17.48831887098312,4.783131223482062,0.4,119.32,0.37736,10.7234215215,6.08627984462,11.8281711162,17.018321710000002,12.3496674753,-1.32238728836,108.36,1.0249517775807886,28.574,31.988,39.438,-10.864,0.7630062343177839,28.72875,1310.33
2012-06-29,17.08,0.65,0.34,3.74,-0.25,-0.79,-2.99,1.0361875777899998,-0.5871703467539999,1.58,3.39,1.53,0.09,-1.8143996301860699,-1.8756812017878044,0.37,119.09,0.37642,-6.360187516639999,-4.32361853129,-9.96821990091,-7.65240996896,-6.32739354248,0.425567102925,304.81,0.9413543825992186,30.762500000000003,28.7925,40.4475,-9.684999999999999,0.7784819101017675,28.814999999999998,1362.16
2012-07-31,18.93,-2.42,0.72,1.01,1.86,1.47,-5.43,0.984527149673,0.589985471828,1.4,3.27,1.68,0.11,3.648775894538625,-0.07254363381178353,0.33,113.99,0.33864,1.8132624107800002,-2.2899080731,-2.43906553679,9.12727158622,5.285339399120001,-0.607710503179,109.48,0.8513311011974353,28.295,33.4625,38.245,-9.95,0.7581744018132799,29.52875,1379.32
2012-08-31,17.47,0.88,0.24,2.76,-2.32,3.03,4.970000000000001,-0.9038919240000001,-0.537892756827,1.48,3.21,1.72,0.09,9.550306609130143,-0.7265015262456154,0.33,120.78,0.2915,-1.74694676036,-2.03137447626,-2.6623255753,-0.785328384547,-1.53331045782,1.19806076155,259.97,0.6845277865861028,36.088,34.142,29.772000000000002,6.315999999999999,1.240662664725785,32.6225,1406.58
2012-09-28,15.73,0.96,0.68,2.8,-1.89,-0.19,1.14,0.773764082341,-1.2202623116,1.55,3.07,1.75,0.1,-4.4366124183684015,-1.4468192219183051,0.26,125.87,0.2191,-3.76118011675,-6.21271181637,0.533146232706,-0.8273678171490001,-5.25715813749,1.25116764999,159.61,0.5992854767587233,35.78,30.15,34.072500000000005,1.7074999999999996,1.0513584721230318,36.63875,1440.67
2012-10-31,18.6,-0.75,3.72,-1.63,0.44,0.25,-1.93,1.99602444236,-2.1224302753699997,1.61,2.73,1.65,0.11,-6.454062262718308,0.3596662930922534,0.2,115.04,0.12092,-1.1396157200800001,-1.7039383191800002,2.27217203297,-2.92123299856,-0.639725951631,3.19237916633,141.64,0.4923920711636671,30.5875,29.487499999999997,39.927499999999995,-9.339999999999998,0.7820950571610102,33.18375,1412.16
2012-11-30,15.87,-0.09,-0.73,0.65,0.92,0.91,3.82,-1.3528026576,1.31001352715,1.54,2.95,1.72,0.08,3.096011131725418,-0.06263650314991542,0.23,117.07,-0.02333,-0.26490013417700004,-3.89506421014,0.892795056505,4.80301083605,0.636919740328,-0.945268969344,251.56,0.451353784760443,35.962,23.068,40.97,-5.007999999999998,0.899343509705856,33.5375,1416.18
2012-12-31,18.02,1.72,3.03,1.3,-2.13,0.18,3.14,-1.03246422538,-2.43542116859,1.73,2.85,1.91,0.05,3.2729726689911143,-0.022392040727181595,0.26,121.27,-0.15468,1.0385250707,-2.18767253472,6.86897252314,-1.93053775231,6.33456941713,2.8378959412399998,249.99,0.46344088767183883,44.0625,26.0075,29.925,14.1375,1.499398046839627,40.04,1426.19
2013-01-31,14.28,0.35,1.54,5.33,-0.64,-1.42,2.369999999999999,4.4009631105,-2.06363994859,1.95,2.82,1.98,0.07,6.175125245044666,-0.313339203411378,0.23,121.64,-0.23788,0.80957690798,2.97310491789,13.346445698699998,-12.304466141799999,1.28674926574,1.14655011904,126.24,0.5514955515104012,45.896,26.298000000000002,27.802,18.094,1.7073384190578196,45.43875,1498.11
2013-02-28,15.51,-1.06,-0.01,0.96,2.2,-1.19,-4.44,1.8702751282299999,0.491401238318,1.78,2.89,1.96,0.11,-5.5800594932813645,1.6487147293993365,0.18,126.86,-0.25315,1.8660620346099999,3.5547609111600003,0.688520859416,5.93480877126,-5.03598880178,-0.111504540969,234.74,0.5897292220852076,38.8,29.352500000000003,31.845,6.955,1.2448042821239418,43.24625,1514.68
